2019/06/06 07:35:18 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:21 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:25 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:31 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:34 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:39 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:46 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:01 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/07 10:06:06 [error] 7#7: *18594 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 7#7: *18594 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18595 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 7#7: *18595 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18595 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18521 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18595 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18520 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18520 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18520 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18520 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18602 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 7#7: *18602 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18602 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18602 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18528 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18528 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18528 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18528 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18530 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18530 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18530 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18530 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18519 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18519 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18519 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18519 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18604 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 7#7: *18604 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18604 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18604 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18531 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18531 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18531 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18531 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18532 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18532 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18532 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18532 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18630 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 7#7: *18630 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18630 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
